id,name,image_url
1,Oklahoma City Thunder,https://cdn.nba.com/teams/uploads/sites/1610612760/2021/12/logo.svg
2,Milwaukee Bucks,https://cdn.nba.com/teams/uploads/sites/1610612749/2021/09/logo.svg
3,Denver Nuggets,https://cdn.nba.com/teams/uploads/sites/1610612743/2021/11/dnuggets-primary-web.svg
4,Los Angeles Lakers,https://cdn.nba.com/teams/uploads/sites/1610612747/2021/12/lakers_70x70.svg
5,Dallas Mavericks,https://www.mavs.com/wp-content/themes/mavs/images/logo.svg
6,Minnesota Timberwolves,https://cdn.nba.com/teams/uploads/sites/1610612750/2021/11/logo-1.svg
7,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png
8,Phoenix Suns,https://cdn.nba.com/teams/uploads/sites/1610612756/2022/08/suns-logo.svg
9,Philadelphia 76ers,https://cdn.nba.com/teams/uploads/sites/1610612755/2022/06/76CoS-PrimaryIconRev-471x471-1.svg
10,Detroit Pistons,https://cdn.nba.com/teams/uploads/sites/1610612765/2021/09/dp-primary.svg
11,New York Knicks,https://cdn.nba.com/teams/uploads/sites/1610612752/2022/10/NYK2223-PRIMARY-LOGO.svg
12,Orlando Magic,https://cdn.nba.com/teams/uploads/sites/1610612753/2025/06/Orlando-Magic-Global-Logo.svg
13,Charlotte Hornets,https://cdn.nba.com/teams/uploads/sites/1610612766/2022/04/hornets_logo2.svg
14,Sacramento Kings,https://cdn.nba.com/teams/uploads/sites/1610612758/2022/04/Kings-Primary.svg
15,New Orleans Pelicans,https://cdn.nba.com/teams/uploads/sites/1610612740/2021/12/pelicans_primary_logo.svg
16,Golden State Warriors,https://cdn.nba.com/teams/uploads/sites/1610612744/2022/06/gsw-logo-1920.svg
17,San Antonio Spurs,https://cdn.nba.com/teams/uploads/sites/1610612759/2022/05/GlobalLogo_WHT-1.svg
18,Atlanta Hawks,https://cdn.nba.com/teams/uploads/sites/1610612737/2023/01/atl_hawks_primary_icon.svg
19,Brooklyn Nets,https://cdn.nba.com/teams/uploads/sites/1610612751/2024/07/BKN_Primary.svg
20,Cleveland Cavaliers,https://cdn.nba.com/teams/uploads/sites/1610612739/2022/03/Asset-4-3.svg
21,Chicago Bulls,https://cdn.nba.com/teams/uploads/sites/1610612741/2021/10/bulls-svg.svg
22,Miami Heat,https://cdn.nba.com/teams/uploads/sites/1610612748/2025/04/core.svg
23,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png
24,Los Angeles Clippers,https://cdn.nba.com/teams/uploads/sites/1610612746/2024/06/LAClippers_Global_rgb.svg
25,Toronto Raptors,https://cdn.nba.com/teams/uploads/sites/1610612761/2021/09/Toronto-Raptors.svg
26,Houston Rockets,https://cdn.nba.com/teams/uploads/sites/1610612745/2023/10/logo-6.46.56-PM.svg
27,Washington Wizards,https://cdn.nba.com/teams/uploads/sites/1610612764/2022/06/wiz-primary.svg
28,Indiana Pacers,https://cdn.nba.com/teams/uploads/sites/1610612754/2021/10/logo-pacers.svg
29,Portland Trail Blazers,https://cdn.nba.com/teams/uploads/sites/1610612757/2022/03/tb_primary_rgb.svg
30,Utah Jazz,https://upload.wikimedia.org/wikipedia/en/5/52/Utah_Jazz_logo_2022.svg
